"k"	"numMs"	"lt1msDelay"	"stddev"
1	"20"	1	0.0111692056612495
2	"20"	1	0.0111692056612495
3	"20"	1	0.0111692056612495
4	"20"	1	0.0849333066480341
5	"20"	1	0.119593402623273
1	"30"	1	0.0111691884247013
2	"30"	1	0.0111691884247013
3	"30"	1	0.105575737807007
4	"30"	0.999987662698168	0.0210393714070292
5	"30"	0.999675209084152	0.0893661256654127
1	"40"	1	0.0111691798064572
2	"40"	1	0.123815665831611
3	"40"	0.999976885453554	0.0318478209949213
4	"40"	0.999136035186931	0.123820378401668
5	"40"	0.969276937618147	0.173773596904119
1	"50"	1	0.0111691746355202
2	"50"	1	0.0190655362557831
3	"50"	0.999003590763655	0.125600839898844
4	"50"	0.965332815429549	0.183123506651763
5	"50"	0.623840322128645	0.484448604929317
